catchment,site,id,type,rank,total_capacity,production,liquid_capacity,cake_capacity,total_imports
KNOSTROP/STW,ASSELBY/STW,23,STW,1,0.02,0.01,0,0,0
BLACKBURN MEADOWS/STW,ASTWITH/STW,24,STW,1,0.006,0.003,0,0,0
BRIDLINGTON/STW,ATWICK/NO 2 STW,25,STW,1,0.036,0.018,0,0,0
BRADFORD ESHOLT/NO 2 STW,AYSGARTH FALLS/STW,26,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,AYSGARTH/STW,27,STW,1,0.024,0.012,0,0,0
BRADFORD ESHOLT/NO 2 STW,BAGBY/STW,28,STW,1,0.068,0.034,0,0,0
BRADFORD ESHOLT/NO 2 STW,BAINBRIDGE/STW,29,STW,1,0.058,0.029,0,0,0
SANDALL/STW,BALBY/STW,30,STF/T,2,2.08,1.04,1,0,1.04
BRADFORD ESHOLT/NO 2 STW,BALDERSBY ST JAMES/STW,31,STW,1,0.02,0.01,0,0,0
BRADFORD ESHOLT/NO 2 STW,BALDERSBY/STW,32,STW,1,0.028,0.014,0,0,0
YORK NABURN/STW,BARLBY/STW,33,STW,1,1.134,0.567,0,0,0
OLD WHITTINGTON/STW,BARLOW/STW,34,STW,1,0.12,0.06,0,0,0
KNOSTROP/STW,BARMBY BANKFIELD/STW,35,STW,1,0.03,0.015,0,0,0
KNOSTROP/STW,BARNBURGH/STW,36,STW,1,0.014,0.007,0,0,0
DEWSBURY/STW,BARR LANE/STW,37,STW,1,0.006,0.003,0,0,0
HUDDERSFIELD/NO 2 STF,BARSEY GREEN/STW,38,STW,1,0.01,0.005,0,0,0
YORK NABURN/STW,BARTON LE WILLOW/STW,39,STW,1,0.022,0.011,0,0,0
CALDER VALE/STW,BARWICK IN ELMET/STW,40,STW,1,0.472,0.236,0,0,0
BRADFORD ESHOLT/NO 2 STW,BEAMSLEY/STW,41,STW,1,0.024,0.012,0,0,0
SANDALL/STW,BEARSWOOD GROVE/STW,42,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,BECKWITHSHAW/STW,43,STW,1,0.028,0.014,0,0,0
BRADFORD ESHOLT/NO 2 STW,BEDALE/STW,44,STW,1,0.75,0.375,0,0,0
HULL/STW,BEEFORD/STW,45,STW,1,0.24,0.12,0,0,0
HUDDERSFIELD/NO 2 STF,BEGGARINGTON/STW,46,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,BELL BUSK/STW,47,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,BELLERBY/STW,48,STW,1,0.056,0.028,0,0,0
BRADFORD ESHOLT/NO 2 STW,BEN RHYDDING/STW,49,STW,1,0.58,0.29,0,0,0
SANDALL/STW,BENTLEY/STW,50,STW,1,2.858,1.429,0,0,0
YORK NABURN/STW,BEVERLEY ROAD NORTON/STW,51,STW,1,0.02,0.01,0,0,0
HULL/STW,BEVERLEY/STW,52,STF/D,3,5.932499258,2.7,0,0,0
BRIDLINGTON/STW,BEWHOLME/STW,53,STW,1,0.014,0.007,0,0,0
BRADFORD ESHOLT/NO 2 STW,BISHOP MONKTON/NO 2 STW,54,STW,1,0.104,0.052,0,0,0
YORK NABURN/STW,BISHOP WILTON/STW,55,STW,1,0.062,0.031,0,0,0
BLACKBURN MEADOWS/STW,BLACKBURN MEADOWS/STW,56,STC,4,50,33.868,12.4,6.6,16.132
BRADFORD ESHOLT/NO 2 STW,BLAND HILL/STW,57,STW,1,0.004,0.002,0,0,0
BRADFORD ESHOLT/NO 2 STW,BLUBBERHOUSES HALL/STW,58,STW,1,0.02,0.01,0,0,0
HUDDERSFIELD/NO 2 STF,BLUBBERHOUSES/STW,59,STW,1,0.012,0.006,0,0,0
BLACKBURN MEADOWS/STW,BOLSOVER/STW,60,STW,1,1.496,0.748,0,0,0
ALDWARKE/STW,BOLTON ON DEARNE/STW,61,STW,1,3.22,1.61,0,0,0
BRADFORD ESHOLT/NO 2 STW,BOROUGHBRIDGE/NO 2 STW,62,STW,1,1.294,0.647,0,0,0
